id,syear,sex,alter,anz_pers,anz_kind,bildung,erwerb,branche,gesund_org,lebensz_org,einkommenj1,einkommenj2,einkommenm1,einkommenm2
17316,2017,[0] männlich,45,4,2,15,[1] Voll erwerbstätig,[87] Heime (ohne Erholungs- und Ferienheime),[2] Gut,8,34152.508,0,2848.5618,0
17316,2018,[0] männlich,46,4,2,15,[1] Voll erwerbstätig,[87] Heime (ohne Erholungs- und Ferienheime),[2] Gut,8,45108.816,0,3375.6506,0
17316,2019,[0] männlich,47,4,2,15,[1] Voll erwerbstätig,[85] Erziehung und Unterricht,[2] Gut,7,40568.656,0,3414.4927,0
2644,2015,[1] weiblich,55,2,0,13,[5] Nicht erwerbstätig,,[5] Schlecht,5,0,0,0,0
2644,2016,[1] weiblich,56,2,0,13,[5] Nicht erwerbstätig,,[2] Gut,9,0,0,0,0
2644,2017,[1] weiblich,57,2,0,13,[5] Nicht erwerbstätig,,[2] Gut,9,0,0,0,0
2644,2018,[1] weiblich,58,2,0,13,[5] Nicht erwerbstätig,,[2] Gut,6,0,0,0,0
2644,2019,[1] weiblich,59,2,0,13,[5] Nicht erwerbstätig,,[2] Gut,9,0,0,0,0
5910,2015,[1] weiblich,23,2,0,13,"[4] Unregelmässig, geringfügig erwerbstät.",[56] Gastronomie,[3] Zufriedenstellend,7,0,0,640.62939,0
5910,2017,[1] weiblich,25,2,0,13,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,,0,0,0,0
5910,2019,[1] weiblich,27,2,0,13,"[4] Unregelmässig, geringfügig erwerbstät.",[56] Gastronomie,[4] Weniger gut,6,0,4535.7446,1,0
22045,2015,[0] männlich,71,1,0,18,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
22045,2016,[0] männlich,72,1,0,18,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
22045,2017,[0] männlich,73,1,0,18,[5] Nicht erwerbstätig,,[4] Weniger gut,7,0,0,0,0
19788,2015,[0] männlich,76,2,0,15,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
19788,2016,[0] männlich,77,2,0,15,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
19788,2017,[0] männlich,78,2,0,15,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
6998,2015,[0] männlich,53,2,0,10,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,0,0,0,0
6998,2016,[0] männlich,54,2,0,10,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,5,0,0,0,0
6998,2017,[0] männlich,55,2,0,10,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,5,0,0,0,0
6998,2018,[0] männlich,56,2,0,10,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,0,0,0,0
6998,2019,[0] männlich,57,2,0,10,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,5,0,0,0,0
18109,2015,[0] männlich,70,2,0,16,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
18109,2016,[0] männlich,71,2,0,16,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,0,0,0,0
18109,2017,[0] männlich,72,2,0,16,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
9445,2015,[0] männlich,78,1,0,10.5,[5] Nicht erwerbstätig,,[4] Weniger gut,4,0,0,0,0
28255,2015,[0] männlich,55,1,0,11.5,[2] Teilzeitbeschäftigung,"[18] Herstellung von Druckerzeugnissen; Vervielfaeltigung von bespielten Ton-, Bild- und Datentraegern",[4] Weniger gut,6,32883.77,0,2262.8203,0
28255,2016,[0] männlich,56,1,0,11.5,[2] Teilzeitbeschäftigung,"[18] Herstellung von Druckerzeugnissen; Vervielfaeltigung von bespielten Ton-, Bild- und Datentraegern",[4] Weniger gut,4,29416.648,0,2447.3892,0
28255,2017,[0] männlich,57,1,0,11.5,[2] Teilzeitbeschäftigung,[46] Grosshandel (ohne Handel mit Kraftfahrzeugen und Kraftraedern),[3] Zufriedenstellend,5,26127.08,0,1942.162,0
28255,2018,[0] männlich,58,1,0,11.5,[2] Teilzeitbeschäftigung,[46] Grosshandel (ohne Handel mit Kraftfahrzeugen und Kraftraedern),[3] Zufriedenstellend,6,24900.877,0,2087.4089,0
28255,2019,[0] männlich,59,1,0,11.5,[2] Teilzeitbeschäftigung,"[18] Herstellung von Druckerzeugnissen; Vervielfaeltigung von bespielten Ton-, Bild- und Datentraegern",[4] Weniger gut,4,25596.656,0,2032.6125,0
16297,2015,[1] weiblich,51,2,1,12,[2] Teilzeitbeschäftigung,[86] Gesundheitswesen,[2] Gut,8,16387.17,0,1402.0227,0
16297,2016,[1] weiblich,52,2,1,12,[1] Voll erwerbstätig,[86] Gesundheitswesen,[2] Gut,8,17220.695,0,1068.4656,0
16297,2017,[1] weiblich,53,2,1,12,[2] Teilzeitbeschäftigung,[86] Gesundheitswesen,[2] Gut,8,15094.3,0,1539.9919,0
18367,2015,[1] weiblich,20,2,0,,"[4] Unregelmässig, geringfügig erwerbstät.",[46] Grosshandel (ohne Handel mit Kraftfahrzeugen und Kraftraedern),[2] Gut,9,3957.8032,0,458.80344,0
18367,2016,[1] weiblich,21,2,0,13,"[3] Ausbildung, Lehre",[64] Erbringung von Finanzdienstleistungen,[2] Gut,8,4540.1357,0,1208.4277,0
18367,2017,[1] weiblich,22,2,0,13,"[3] Ausbildung, Lehre",[64] Erbringung von Finanzdienstleistungen,[2] Gut,9,13299.432,0,1222.3999,0
18367,2018,[1] weiblich,23,2,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[2] Gut,7,8571.8184,0,1229.8766,0
18367,2019,[1] weiblich,24,2,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[2] Gut,8,28104.236,0,2729.8054,0
13999,2015,[1] weiblich,38,4,2,10.5,[5] Nicht erwerbstätig,,[2] Gut,9,0,0,0,0
13999,2016,[1] weiblich,39,4,2,10.5,[5] Nicht erwerbstätig,,[2] Gut,9,0,0,0,0
13999,2017,[1] weiblich,40,4,2,10.5,[2] Teilzeitbeschäftigung,,[2] Gut,9,12114.224,0,1344.2896,0
13999,2018,[1] weiblich,41,4,2,10.5,[2] Teilzeitbeschäftigung,,[2] Gut,9,15673.346,0,1619.6702,0
13999,2019,[1] weiblich,42,4,2,10.5,[2] Teilzeitbeschäftigung,,[3] Zufriedenstellend,9,16131.6,0,1164.7925,0
10343,2015,[0] männlich,56,5,1,18,[1] Voll erwerbstätig,"[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten",[3] Zufriedenstellend,8,0,0,2717.8555,0
10343,2016,[0] männlich,57,5,0,18,[1] Voll erwerbstätig,"[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten",[3] Zufriedenstellend,9,0,0,2623.0225,0
10343,2017,[0] männlich,58,5,0,18,[1] Voll erwerbstätig,"[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten",[3] Zufriedenstellend,8,0,0,2053.219,0
10343,2018,[0] männlich,59,3,0,18,[1] Voll erwerbstätig,"[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten",[2] Gut,9,0,0,3196.8071,0
10343,2019,[0] männlich,60,3,0,18,[1] Voll erwerbstätig,"[1] Landwirtschaft, Jagd und damit verbundene Taetigkeiten",[2] Gut,8,0,0,3177.9758,0
4391,2015,[0] männlich,62,2,0,12,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,5,40777.465,0,3278.4241,0
4391,2016,[0] männlich,63,2,0,12,[1] Voll erwerbstätig,[86] Gesundheitswesen,[2] Gut,6,45689.215,0,3216.23,0
4391,2017,[0] männlich,64,2,0,12,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,7,41778.332,0,3586.9814,0
4391,2018,[0] männlich,65,2,0,12,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,5,43650.938,0,3380.6042,0
4391,2019,[0] männlich,66,2,0,12,[5] Nicht erwerbstätig,,[2] Gut,6,17791.422,0,0,0
11570,2015,[0] männlich,74,2,0,10.5,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
16332,2015,[0] männlich,57,2,0,12,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[2] Gut,8,42868.676,0,3429.8721,0
29418,2015,[1] weiblich,55,2,0,11.5,[5] Nicht erwerbstätig,,[5] Schlecht,2,0,0,0,0
29418,2016,[1] weiblich,56,3,0,11.5,[5] Nicht erwerbstätig,,[5] Schlecht,3,0,0,0,0
29418,2017,[1] weiblich,57,3,0,11.5,[5] Nicht erwerbstätig,,[5] Schlecht,5,0,0,0,0
29418,2018,[1] weiblich,58,3,0,11.5,[5] Nicht erwerbstätig,,[5] Schlecht,8,0,0,0,0
22245,2015,[0] männlich,46,4,2,11,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,7,38567.543,0,3406.093,0
22245,2016,[0] männlich,47,4,1,11,[1] Voll erwerbstätig,[86] Gesundheitswesen,[4] Weniger gut,8,37413.262,0,2442.3579,0
22245,2017,[0] männlich,48,4,1,11,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,7,37627.02,0,3529.8101,0
22245,2018,[0] männlich,49,4,1,11,[1] Voll erwerbstätig,[86] Gesundheitswesen,[3] Zufriedenstellend,7,45906.828,0,3283.8979,0
22245,2019,[0] männlich,50,4,1,11,[1] Voll erwerbstätig,[86] Gesundheitswesen,[4] Weniger gut,8,45798.922,0,3872.7917,0
19876,2019,[0] männlich,17,4,1,,[5] Nicht erwerbstätig,,[2] Gut,,0,0,0,0
27168,2015,[0] männlich,89,2,0,16,[5] Nicht erwerbstätig,,[4] Weniger gut,7,0,0,0,0
27168,2016,[0] männlich,90,2,0,16,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
14975,2015,[0] männlich,58,3,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[2] Gut,9,52476.289,0,4293.8525,0
14975,2016,[0] männlich,59,2,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[2] Gut,9,48530,0,4813.0322,0
14975,2017,[0] männlich,60,2,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,7,54241.805,0,4940.3398,0
14975,2018,[0] männlich,61,2,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,6,54819.629,0,5603.3267,0
14975,2019,[0] männlich,62,2,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,8,55300.57,0,4530.6436,0
26605,2015,[1] weiblich,44,5,2,15,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
11403,2015,[0] männlich,75,2,0,10.5,[5] Nicht erwerbstätig,,[4] Weniger gut,5,0,0,0,0
11403,2016,[0] männlich,76,2,0,10.5,[5] Nicht erwerbstätig,,[5] Schlecht,5,0,0,0,0
11403,2017,[0] männlich,77,2,0,10.5,[5] Nicht erwerbstätig,,[5] Schlecht,4,0,0,0,0
30062,2015,[0] männlich,47,1,0,9,[5] Nicht erwerbstätig,,[5] Schlecht,2,0,0,0,0
30062,2016,[0] männlich,48,1,0,9,[5] Nicht erwerbstätig,,[5] Schlecht,2,0,0,0,0
30062,2017,[0] männlich,49,1,0,9,[5] Nicht erwerbstätig,,[5] Schlecht,1,0,0,0,0
1820,2015,[0] männlich,66,2,0,13.5,[5] Nicht erwerbstätig,,[2] Gut,8,0,0,0,0
1820,2016,[0] männlich,67,2,0,13.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
1820,2017,[0] männlich,68,2,0,13.5,[2] Teilzeitbeschäftigung,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[2] Gut,8,0,0,503.62387,0
1820,2018,[0] männlich,69,2,0,13.5,[2] Teilzeitbeschäftigung,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,8,0,4547.2295,962.69257,0
1820,2019,[0] männlich,70,2,0,13.5,"[4] Unregelmässig, geringfügig erwerbstät.","[53] Post-, Kurier- und Expressdienste",[3] Zufriedenstellend,8,0,4575.3154,544.76019,0
15657,2015,[0] männlich,43,1,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[3] Zufriedenstellend,4,87173.055,0,6839.7725,0
15657,2016,[0] männlich,44,1,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[2] Gut,6,51607.738,0,7856.6528,0
15657,2017,[0] männlich,45,1,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[2] Gut,5,94902.758,0,8059.8574,0
15657,2018,[0] männlich,46,1,0,14.5,[5] Nicht erwerbstätig,,[2] Gut,5,93169.313,0,0,0
15657,2019,[0] männlich,47,1,0,14.5,[1] Voll erwerbstätig,[64] Erbringung von Finanzdienstleistungen,[2] Gut,7,83278.547,0,12189.013,0
16673,2015,[0] männlich,66,1,0,11.5,[5] Nicht erwerbstätig,,[4] Weniger gut,8,0,0,0,0
16673,2016,[0] männlich,67,1,0,11.5,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
16673,2017,[0] männlich,68,1,0,11.5,[5] Nicht erwerbstätig,,[4] Weniger gut,8,0,0,0,0
16673,2018,[0] männlich,69,1,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
16673,2019,[0] männlich,70,1,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
12360,2015,[1] weiblich,65,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
12360,2016,[1] weiblich,66,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
12360,2017,[1] weiblich,67,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,5,0,0,0,0
12360,2018,[1] weiblich,68,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
12360,2019,[1] weiblich,69,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
3151,2015,[1] weiblich,53,2,0,15,[2] Teilzeitbeschäftigung,[49] Landverkehr und Transport in Rohrfernleitungen,[5] Schlecht,7,45162.957,0,3354.0886,0
3151,2016,[1] weiblich,54,2,0,15,[2] Teilzeitbeschäftigung,[49] Landverkehr und Transport in Rohrfernleitungen,[4] Weniger gut,7,44700.082,0,3873.6694,0
3151,2017,[1] weiblich,55,2,0,15,[2] Teilzeitbeschäftigung,[49] Landverkehr und Transport in Rohrfernleitungen,[4] Weniger gut,6,47570.672,0,3977.3877,0
3151,2018,[1] weiblich,56,2,0,15,[2] Teilzeitbeschäftigung,[49] Landverkehr und Transport in Rohrfernleitungen,[5] Schlecht,4,46687.82,0,3877.5513,0
3151,2019,[1] weiblich,57,2,0,15,[2] Teilzeitbeschäftigung,[49] Landverkehr und Transport in Rohrfernleitungen,[4] Weniger gut,7,46254.285,0,4386.7461,0
4493,2015,[1] weiblich,52,3,0,11.5,[2] Teilzeitbeschäftigung,[20] Herstellung von chemischen Erzeugnissen,[3] Zufriedenstellend,9,42590.082,0,4133.959,0
4493,2016,[1] weiblich,53,3,0,11.5,[2] Teilzeitbeschäftigung,[20] Herstellung von chemischen Erzeugnissen,[1] Sehr gut,9,46210.336,0,3772.5396,0
4493,2017,[1] weiblich,54,3,0,11.5,[1] Voll erwerbstätig,[20] Herstellung von chemischen Erzeugnissen,[2] Gut,9,45583.77,0,5011.1987,0
4493,2018,[1] weiblich,55,3,0,11.5,[1] Voll erwerbstätig,[20] Herstellung von chemischen Erzeugnissen,[3] Zufriedenstellend,9,54205.25,0,5008.124,0
4493,2019,[1] weiblich,56,3,0,11.5,[1] Voll erwerbstätig,[20] Herstellung von chemischen Erzeugnissen,[2] Gut,8,59557.262,0,5308.8379,0
6075,2015,[1] weiblich,57,1,0,11.5,[2] Teilzeitbeschäftigung,[60] Rundfunkveranstalter,[4] Weniger gut,4,26602.461,0,2152.437,0
6075,2016,[1] weiblich,58,1,0,11.5,"[4] Unregelmässig, geringfügig erwerbstät.",[45] Handel mit Kraftfahrzeugen,[3] Zufriedenstellend,4,15706.958,0,509.46579,0
6075,2017,[1] weiblich,59,1,0,11.5,[2] Teilzeitbeschäftigung,"[65] Versicherungen, Rueckversicherungen und Pensionskassen (ohne Sozialversicherung)",[3] Zufriedenstellend,4,7129.0303,6062.4575,1343.595,0
6075,2018,[1] weiblich,60,1,0,11.5,[5] Nicht erwerbstätig,,[2] Gut,8,14046.683,0,0,0
6557,2015,[0] männlich,60,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
6557,2016,[0] männlich,61,1,0,12,[5] Nicht erwerbstätig,,[2] Gut,8,0,0,0,0
6557,2017,[0] männlich,62,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
6557,2018,[0] männlich,63,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
6557,2019,[0] männlich,64,1,0,12,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
15679,2015,[0] männlich,76,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
15679,2016,[0] männlich,77,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
15679,2017,[0] männlich,78,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
15679,2018,[0] männlich,79,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,0,0,0,0
15679,2019,[0] männlich,80,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
28952,2015,[1] weiblich,74,2,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
28952,2016,[1] weiblich,75,2,0,12,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
19982,2015,[0] männlich,69,1,0,11,"[4] Unregelmässig, geringfügig erwerbstät.",[35] Energieversorgung,[2] Gut,8,6496.8267,0,723.67908,0
19982,2016,[0] männlich,70,1,0,11,"[4] Unregelmässig, geringfügig erwerbstät.",[35] Energieversorgung,[3] Zufriedenstellend,8,0,7087.356,563.92065,0
19982,2017,[0] männlich,71,1,0,11,"[4] Unregelmässig, geringfügig erwerbstät.","[74] Sonstige freiberufliche, wissenschaftliche und technische Taetigkeiten",[4] Weniger gut,8,6954.3452,0,5692.4688,0
19982,2018,[0] männlich,72,1,0,11,"[4] Unregelmässig, geringfügig erwerbstät.","[74] Sonstige freiberufliche, wissenschaftliche und technische Taetigkeiten",[3] Zufriedenstellend,7,5837.6582,0,3607.2952,0
19982,2019,[0] männlich,73,1,0,11,"[4] Unregelmässig, geringfügig erwerbstät.",,[3] Zufriedenstellend,7,41780.52,0,3300.5369,0
15337,2015,[1] weiblich,65,1,0,16,[1] Voll erwerbstätig,[87] Heime (ohne Erholungs- und Ferienheime),[4] Weniger gut,7,12884.887,0,2618.1829,0
15337,2016,[1] weiblich,66,2,0,16,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,33032.699,0,0,58.562153
15337,2017,[1] weiblich,67,1,0,16,"[4] Unregelmässig, geringfügig erwerbstät.",[56] Gastronomie,[3] Zufriedenstellend,7,3203.3633,0,467.19696,0
15337,2018,[1] weiblich,68,1,0,16,"[4] Unregelmässig, geringfügig erwerbstät.",[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,7,0,1762.9949,2827.7698,0
15337,2019,[1] weiblich,69,1,0,16,"[4] Unregelmässig, geringfügig erwerbstät.",[56] Gastronomie,[3] Zufriedenstellend,8,4209.7754,425.13925,232.43886,0
19332,2015,[0] männlich,65,2,0,11.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,8,45721.105,0,3493.6096,0
19332,2016,[0] männlich,66,2,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,11020.735,0,0,0
19332,2017,[0] männlich,67,2,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
19332,2018,[0] männlich,68,2,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
19332,2019,[0] männlich,69,2,0,11.5,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
12043,2015,[1] weiblich,72,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
12043,2016,[1] weiblich,73,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
12043,2017,[1] weiblich,74,1,0,12,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
20013,2015,[0] männlich,49,3,1,10.5,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[2] Gut,7,32215.674,0,2495.2979,0
18635,2015,[0] männlich,77,2,0,11,[5] Nicht erwerbstätig,,[4] Weniger gut,7,0,0,0,0
18635,2016,[0] männlich,78,2,0,11,[5] Nicht erwerbstätig,,[4] Weniger gut,7,0,0,0,0
18635,2017,[0] männlich,79,2,0,11,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
18635,2018,[0] männlich,80,2,0,11,[5] Nicht erwerbstätig,,[4] Weniger gut,1,0,0,0,0
18635,2019,[0] männlich,81,2,0,11,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
26620,2015,[0] männlich,46,4,1,10.5,[1] Voll erwerbstätig,[20] Herstellung von chemischen Erzeugnissen,[2] Gut,8,33014.711,0,3769.2615,0
26620,2016,[0] männlich,47,4,1,10.5,[1] Voll erwerbstätig,[20] Herstellung von chemischen Erzeugnissen,[3] Zufriedenstellend,[10] ganz und gar zufrieden,42759.625,0,3669.856,0
22696,2015,[1] weiblich,65,2,0,9,[5] Nicht erwerbstätig,,[5] Schlecht,[0] ganz und gar unzufrieden,0,0,0,0
22696,2016,[1] weiblich,66,2,0,9,[5] Nicht erwerbstätig,,[5] Schlecht,,0,0,0,0
12668,2015,[0] männlich,73,3,0,9,[5] Nicht erwerbstätig,,[4] Weniger gut,6,0,0,0,0
12668,2016,[0] männlich,74,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,,0,0,0,0
12668,2017,[0] männlich,75,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,6,0,0,0,0
12668,2018,[0] männlich,76,2,0,9,[5] Nicht erwerbstätig,,[4] Weniger gut,8,0,0,0,0
12668,2019,[0] männlich,77,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
29084,2015,[1] weiblich,70,3,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
29084,2016,[1] weiblich,71,2,0,9,[5] Nicht erwerbstätig,,[4] Weniger gut,,0,0,0,0
29084,2017,[1] weiblich,72,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
29084,2018,[1] weiblich,73,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
29084,2019,[1] weiblich,74,2,0,9,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,7,0,0,0,0
21591,2015,[1] weiblich,58,2,0,12,[1] Voll erwerbstätig,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[2] Gut,8,30228.328,0,2716.199,0
21591,2016,[1] weiblich,59,2,0,12,[1] Voll erwerbstätig,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,8,33151.852,0,2639.2634,0
21591,2017,[1] weiblich,60,2,0,12,[1] Voll erwerbstätig,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,8,33799.73,0,2995.2566,0
21591,2018,[1] weiblich,61,2,0,12,[1] Voll erwerbstätig,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,9,34245.137,0,3277.4973,0
21591,2019,[1] weiblich,62,2,0,12,[1] Voll erwerbstätig,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,8,32260.592,0,3700.9495,0
16386,2015,[1] weiblich,53,2,0,13,[2] Teilzeitbeschäftigung,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[2] Gut,6,22580.695,0,1881.4877,0
16386,2016,[1] weiblich,54,2,0,13,[2] Teilzeitbeschäftigung,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[2] Gut,6,23334.285,0,1953.2385,0
16386,2017,[1] weiblich,55,2,0,13,[2] Teilzeitbeschäftigung,[47] Einzelhandel (ohne Handel mit Kraftfahrzeugen),[3] Zufriedenstellend,8,24166.004,0,2008.1544,0
