id,year,firstyear_spell,event,event2,deceased,time,lastyear_spell,listing,uri,rank,worth,country,selfmade,sector,age,age_imputed,worth_def,female,gensource,first_2010,continent
41,2014,2014,1,1,0,10,2023,1,alain-wertheimer,141,9000,France,0,3. Nontradable,66,NA,7020,0,Inherited male,0,Europe
42,2015,2015,1,1,0,1,2015,1,alan-auerbach,1533,1200,United States,1,2. New Sector,45,NA,936,0,Self-made male,0,North America
43,2010,2010,1,1,0,3,2012,1,alan-casden,536,1900,United States,1,4. Financial,64,NA,1368,0,Self-made male,1,North America
44,2010,2010,1,1,0,14,2023,1,alan-gerry,880,1100,United States,1,3. Nontradable,82,NA,792,0,Self-made male,1,North America
45,2010,2010,1,1,0,14,2023,1,alan-howard,556,1800,United Kingdom,1,4. Financial,47,NA,1296,0,Self-made male,1,Europe
46,2021,2021,1,1,0,3,2023,1,alan-miller-1,2263,1300,United States,1,2. New Sector,84,NA,1144,0,Self-made male,0,North America
47,2014,2014,1,1,0,6,2019,1,alan-rydge,1540,1050,Australia,1,3. Nontradable,62,NA,819,0,Self-made male,0,Oceania
47,2021,2021,0,0,0,2,2022,2,alan-rydge,2674,1000,Australia,1,3. Nontradable,69,NA,880,0,Self-made male,0,Oceania
48,2017,2017,1,1,0,7,2023,1,alan-trefler,1290,1600,United States,1,2. New Sector,61,NA,1296,0,Self-made male,0,North America
49,2023,2023,1,1,0,1,2023,1,alan-wilson,1804,1600,Australia,0,3. Nontradable,83,NA,1600,0,Inherited male,0,Oceania
50,2020,2020,1,1,0,4,2023,1,alan-zekelman,1851,1100,Canada,0,5. Tradable,58,NA,946,0,Inherited male,0,North America
51,2021,2021,1,1,0,1,2021,1,albert-avdolyan,2674,1000,Russia,1,1. Resource-related,51,NA,880,0,Self-made male,0,Asia
51,2023,2023,1,1,0,1,2023,2,albert-avdolyan,1368,2200,Russia,1,1. Resource-related,53,NA,2200,0,Self-made male,0,Asia
52,2015,2015,1,1,0,5,2019,1,albert-berner,1533,1200,Germany,1,5. Tradable,80,NA,936,0,Self-made male,0,Europe
53,2014,2014,1,1,0,1,2014,1,albert-blokker,1210,1400,Belgium,0,3. Nontradable,68,NA,1092,0,Inherited male,0,Europe
54,2010,2010,0,1,1,9,2018,1,albert-frere,367,2600,Belgium,1,4. Financial,84,NA,1872,0,Self-made male,1,Europe
55,2010,2010,0,1,1,1,2010,1,albert-gubay,880,1100,United Kingdom,0,4. Financial,82,NA,792,0,Inherited male,1,Europe
56,2013,2013,1,1,0,3,2015,1,albert-shigaboutdinov,1250,1150,Russia,1,6. Diversified / Other,61,NA,885.5,0,Self-made male,0,Asia
56,2017,2017,1,1,0,7,2023,2,albert-shigaboutdinov,1940,1000,Russia,1,6. Diversified / Other,65,NA,810,0,Self-made male,0,Asia
57,2010,2010,0,1,1,3,2012,1,albert-ueltschi,536,1900,United States,1,3. Nontradable,93,NA,1368,0,Self-made male,1,North America
58,2010,2010,1,1,0,5,2014,1,albert-von-thurn-und-taxis,437,2200,Germany,0,6. Diversified / Other,27,NA,1584,0,Inherited male,1,Europe
59,2011,2011,1,1,0,9,2019,1,albert-yeung,879,1400,Hong Kong,1,6. Diversified / Other,68,NA,1036,0,Self-made male,0,Asia
60,2010,2010,1,1,0,3,2012,1,alberto-alcocer,828,1200,Spain,1,4. Financial,68,NA,864,0,Self-made male,1,Europe
60,2014,2014,1,1,0,10,2023,2,alberto-alcocer,1565,1000,Spain,1,4. Financial,72,NA,780,0,Self-made male,0,Europe
61,2010,2010,0,1,1,12,2021,1,alberto-bailleres-gonzalez,82,8300,Mexico,0,1. Resource-related,79,NA,5976,0,Inherited male,1,North America
62,2013,2013,0,1,1,1,2013,1,alberto-benavides,736,2000,Peru,1,1. Resource-related,93,NA,1540,0,Self-made male,0,South America
63,2014,2014,1,1,0,3,2016,1,alberto-bombassei,1372,1200,Italy,0,5. Tradable,74,NA,936,0,Inherited male,0,Europe
63,2021,2021,1,1,0,3,2023,2,alberto-bombassei,1299,2400,Italy,0,5. Tradable,81,NA,2112,0,Inherited male,0,Europe
64,2010,2010,1,1,0,6,2015,1,alberto-cortina,828,1200,Spain,1,4. Financial,64,NA,864,0,Self-made male,1,Europe
64,2017,2017,1,1,0,7,2023,2,alberto-cortina,1795,1100,Spain,1,4. Financial,71,NA,891,0,Self-made male,0,Europe
65,2018,2018,1,1,0,6,2023,1,alberto-palatchi,1999,1100,Spain,1,3. Nontradable,69,NA,913,0,Self-made male,0,Europe
66,2015,2015,1,1,0,5,2019,1,alberto-prada,1054,1800,Italy,0,3. Nontradable,61,NA,1404,0,Inherited male,0,Europe
66,2021,2021,1,1,0,3,2023,2,alberto-prada,1580,2000,Italy,0,3. Nontradable,67,NA,1760,0,Inherited male,0,Europe
67,2013,2013,0,0,1,10,2022,1,alberto-roemmers,1268,1100,Argentina,0,2. New Sector,86,NA,847,0,Inherited male,0,South America
68,2020,2020,1,1,0,4,2023,1,alberto-siccardi,1613,1300,Switzerland,0,2. New Sector,76,NA,1118,0,Inherited male,0,Europe
69,2019,2019,1,1,0,5,2023,1,alceu-elias-feldmann,1057,2200,Brazil,1,1. Resource-related,70,NA,1848,0,Self-made male,0,South America
70,2015,2015,1,1,0,3,2017,1,aldo-bensadoun,1118,1700,Canada,1,3. Nontradable,76,NA,1326,0,Self-made male,0,North America
70,2020,2020,1,1,0,1,2020,2,aldo-bensadoun,1851,1100,Canada,1,3. Nontradable,81,NA,946,0,Self-made male,0,North America
71,2010,2010,1,1,0,14,2023,1,alec-gores,616,1600,United States,1,4. Financial,57,NA,1152,0,Self-made male,1,North America
72,2022,2022,1,1,0,2,2023,1,alejandro-bailleres-gual,369,6700,Mexico,0,6. Diversified / Other,61,NA,6365,0,Inherited male,0,North America
73,2011,2011,1,1,0,13,2023,1,alejandro-bulgheroni,200,5100,Argentina,0,1. Resource-related,67,NA,3774,0,Inherited male,0,South America
74,2012,2012,1,1,0,12,2023,1,alejandro-santo-domingo,97,9500,Colombia,0,5. Tradable,35,NA,7220,0,Inherited male,0,North America
75,2023,2023,1,1,0,1,2023,1,ales-zavoral,1516,2000,Czech Republic,1,3. Nontradable,47,NA,2000,0,Self-made male,0,Europe
76,2020,2020,1,1,0,4,2023,1,alessandra-garavoglia,1063,2000,Italy,0,5. Tradable,60,NA,1720,1,Inherited female,0,Europe
77,2022,2022,0,0,0,1,2022,1,alex-atallah,1397,2200,United States,1,2. New Sector,30,NA,2090,0,Self-made male,0,North America
78,2012,2012,1,1,0,4,2015,1,alex-beard,601,2100,United Kingdom,1,1. Resource-related,45,NA,1596,0,Self-made male,0,Europe
78,2017,2017,1,1,0,3,2019,2,alex-beard,1468,1400,United Kingdom,1,1. Resource-related,50,NA,1134,0,Self-made male,0,Europe
78,2021,2021,1,1,0,3,2023,3,alex-beard,2035,1500,United Kingdom,1,1. Resource-related,54,NA,1320,0,Self-made male,0,Europe
79,2021,2021,1,1,0,3,2023,1,alex-birkenstock,1833,1700,Germany,0,3. Nontradable,53,NA,1496,0,Inherited male,0,Europe
80,2022,2022,1,1,0,2,2023,1,alex-shevchenko,728,4000,Canada,1,2. New Sector,42,NA,3800,0,Self-made male,0,North America
81,2010,2010,1,1,0,14,2023,1,alexander-abramov,121,6100,Russia,1,1. Resource-related,51,NA,4392,0,Self-made male,1,Asia
82,2010,2010,1,1,0,11,2020,1,alexander-dzhaparidze,880,1100,Russia,1,1. Resource-related,55,NA,792,0,Self-made male,1,Asia
83,2010,2010,1,1,0,14,2023,1,alexander-frolov,354,2800,Russia,1,1. Resource-related,46,NA,2016,0,Self-made male,1,Asia
84,2023,2023,1,1,0,1,2023,1,alexander-gerko,534,5000,United Kingdom,1,4. Financial,44,NA,5000,0,Self-made male,0,Europe
85,2011,2011,1,1,0,1,2011,1,alexander-girda,1140,1000,Russia,1,3. Nontradable,50,NA,740,0,Self-made male,0,Asia
86,2015,2015,1,1,0,9,2023,1,alexander-karp,1533,1200,United States,1,2. New Sector,48,NA,936,0,Self-made male,0,North America
87,2017,2017,1,1,0,5,2021,1,alexander-klyachin,1567,1300,Russia,1,4. Financial,50,NA,1053,0,Self-made male,0,Asia
87,2023,2023,1,1,0,1,2023,2,alexander-klyachin,2259,1200,Russia,1,4. Financial,56,NA,1200,0,Self-made male,0,Asia
88,2010,2010,1,1,0,5,2014,1,alexander-knaster,880,1100,United States,1,4. Financial,51,NA,792,0,Self-made male,1,North America
89,2021,2021,0,0,0,2,2022,1,alexander-knauf,2524,1100,Germany,0,5. Tradable,47,NA,968,0,Inherited male,0,Europe
90,2010,2010,1,1,0,3,2012,1,alexander-lebedev,488,2000,Russia,1,4. Financial,51,NA,1440,0,Self-made male,1,Asia
91,2013,2013,1,1,0,1,2013,1,alexander-lutsenko,1268,1100,Russia,1,5. Tradable,51,NA,847,0,Self-made male,0,Asia
91,2015,2015,1,1,0,1,2015,2,alexander-lutsenko,1638,1100,Russia,1,5. Tradable,53,NA,858,0,Self-made male,0,Asia
91,2021,2021,1,1,0,1,2021,3,alexander-lutsenko,2378,1200,Russia,1,5. Tradable,59,NA,1056,0,Self-made male,0,Asia
92,2010,2010,1,1,0,10,2019,1,alexander-machkevich,287,3300,Israel,1,1. Resource-related,56,NA,2376,0,Self-made male,1,Asia
93,2010,2010,1,1,0,14,2023,1,alexander-mamut,655,1500,Russia,1,4. Financial,50,NA,1080,0,Self-made male,1,Asia
94,2010,2010,1,1,0,14,2023,1,alexander-nesis,721,1400,Russia,1,4. Financial,48,NA,1008,0,Self-made male,1,Asia
95,2018,2018,1,1,0,6,2023,1,alexander-otto,127,11800,Germany,0,4. Financial,51,NA,9794,0,Inherited male,0,Europe
96,2010,2010,1,1,0,14,2023,1,alexander-ponomarenko,880,1100,Russia,1,3. Nontradable,46,NA,792,0,Self-made male,1,Asia
97,2011,2011,1,1,0,1,2011,1,alexander-putilov,1057,1100,Russia,1,1. Resource-related,59,NA,814,0,Self-made male,0,Asia
97,2013,2013,1,1,0,2,2014,2,alexander-putilov,1088,1350,Russia,1,1. Resource-related,61,NA,1039.5,0,Self-made male,0,Asia
98,2010,2010,1,1,0,11,2020,1,alexander-rovt,721,1400,United States,1,5. Tradable,58,NA,1008,0,Self-made male,1,North America
99,2015,2015,1,1,0,1,2015,1,alexander-samwer,1118,1700,Germany,1,2. New Sector,40,NA,1326,0,Self-made male,0,Europe
99,2018,2018,1,1,0,1,2018,2,alexander-samwer,1999,1100,Germany,1,2. New Sector,43,NA,913,0,Self-made male,0,Europe
99,2021,2021,1,1,0,1,2021,3,alexander-samwer,2378,1200,Germany,1,2. New Sector,46,NA,1056,0,Self-made male,0,Europe
100,2011,2011,1,1,0,1,2011,1,alexander-shchukin,692,1800,Russia,1,1. Resource-related,61,NA,1332,0,Self-made male,0,Asia
101,2010,2010,1,1,0,1,2010,1,alexander-shnaider,773,1300,Canada,1,1. Resource-related,42,NA,936,0,Self-made male,1,North America
102,2022,2022,1,1,0,2,2023,1,alexander-sixt,2190,1300,Germany,0,5. Tradable,43,NA,1235,0,Inherited male,0,Europe
103,2010,2010,1,1,0,14,2023,1,alexander-skorobogatko,880,1100,Russia,1,3. Nontradable,43,NA,792,0,Self-made male,1,Asia
104,2010,2010,0,1,1,9,2018,1,alexander-spanos,880,1100,United States,1,3. Nontradable,87,NA,792,0,Self-made male,1,North America
105,2012,2012,1,1,0,12,2023,1,alexander-svetakov,764,1700,Russia,1,4. Financial,44,NA,1292,0,Self-made male,0,Asia
106,2013,2013,1,1,0,1,2013,1,alexander-tedja,1342,1000,Indonesia,1,4. Financial,68,NA,770,0,Self-made male,0,Asia
106,2017,2017,1,1,0,3,2019,2,alexander-tedja,1940,1000,Indonesia,1,4. Financial,72,NA,810,0,Self-made male,0,Asia
106,2021,2021,0,0,0,2,2022,3,alexander-tedja,2141,1400,Indonesia,1,4. Financial,76,NA,1232,0,Self-made male,0,Asia
107,2011,2011,1,1,0,1,2011,1,alexander-vagin,938,1300,Russia,1,1. Resource-related,52,NA,962,0,Self-made male,0,Asia
108,2014,2014,1,1,0,6,2019,1,alexander-vik,1565,1000,Norway,0,4. Financial,59,NA,780,0,Inherited male,0,Europe
109,2016,2016,1,1,0,8,2023,1,alexandra-andresen,1476,1200,Norway,0,6. Diversified / Other,20,NA,948,1,Inherited female,0,Europe
110,2015,2015,1,1,0,9,2023,1,alexandra-daitch,1190,1600,United States,0,5. Tradable,52,NA,1248,1,Inherited female,0,North America
111,2010,2010,1,1,0,14,2023,1,alexandra-schoerghuber,437,2200,Germany,0,4. Financial,52,NA,1584,1,Inherited female,1,Europe
112,2020,2020,1,1,0,4,2023,1,alexandre-behring,414,4300,Brazil,1,4. Financial,53,NA,3698,0,Self-made male,0,South America
113,2014,2014,1,1,0,10,2023,1,alexandre-grendene-bartelle,1154,1500,Brazil,1,3. Nontradable,64,NA,1170,0,Self-made male,0,South America
114,2011,2011,1,1,0,7,2017,1,alexandre-soares-dos-santos,512,2300,Portugal,0,3. Nontradable,77,NA,1702,0,Inherited male,0,Europe
115,2010,2010,1,1,0,8,2017,1,alexei-ananyev,616,1600,Russia,1,6. Diversified / Other,46,NA,1152,0,Self-made male,1,Asia
116,2014,2014,1,1,0,2,2015,1,alexei-bogachev,1442,1150,Russia,1,6. Diversified / Other,44,NA,897,0,Self-made male,0,Asia
116,2017,2017,1,1,0,1,2017,2,alexei-bogachev,1940,1000,Russia,1,6. Diversified / Other,47,NA,810,0,Self-made male,0,Asia
117,2010,2010,1,1,0,14,2023,1,alexei-kuzmichev,109,6500,Russia,1,1. Resource-related,48,NA,4680,0,Self-made male,1,Asia
118,2014,2014,1,1,0,1,2014,1,alexei-semin,1442,1150,Russia,1,4. Financial,47,NA,897,0,Self-made male,0,Asia
119,2010,2010,1,1,0,14,2023,1,alexey-mordashov,70,9900,Russia,1,1. Resource-related,45,NA,7128,0,Self-made male,1,Asia
120,2018,2018,1,1,0,6,2023,1,alexey-repik,1157,2100,Russia,1,2. New Sector,39,NA,1743,0,Self-made male,0,Asia
121,2021,2021,1,1,0,3,2023,1,alexis-le-quoc,1664,1900,United States,1,2. New Sector,47,NA,1672,0,Self-made male,0,North America
122,2016,2016,1,1,0,8,2023,1,alfred-gantner,1367,1300,Switzerland,1,4. Financial,48,NA,1027,0,Self-made male,0,Europe
123,2010,2010,0,1,1,6,2015,1,alfred-james-clark,828,1200,United States,1,5. Tradable,83,NA,864,0,Self-made male,1,North America
124,2010,2010,1,1,1,2,2011,1,alfred-mann,721,1400,United States,1,2. New Sector,85,NA,1008,0,Self-made male,1,North America
124,2014,2014,0,1,1,2,2015,2,alfred-mann,1465,1100,United States,1,2. New Sector,89,NA,858,0,Self-made male,0,North America
125,2014,2014,1,1,0,10,2023,1,alfred-oetker,1078,1650,Germany,0,3. Nontradable,47,NA,1287,0,Inherited male,0,Europe
126,2010,2010,0,1,1,6,2015,1,alfred-taubman,655,1500,United States,1,4. Financial,86,NA,1080,0,Self-made male,1,North America
127,2018,2018,1,1,0,1,2018,1,alfred-west-jr,1867,1200,United States,1,4. Financial,76,NA,996,0,Self-made male,0,North America
127,2021,2021,1,1,0,3,2023,2,alfred-west-jr,2141,1400,United States,1,4. Financial,79,NA,1232,0,Self-made male,0,North America
128,2011,2011,1,1,0,13,2023,1,alfredo-egydio-arruda-villela-filho,347,3200,Brazil,0,4. Financial,42,NA,2368,0,Inherited male,0,South America
129,2010,2010,1,1,0,14,2023,1,alfredo-harp-helu,937,1000,Mexico,1,4. Financial,66,NA,720,0,Self-made male,1,North America
130,2021,2021,1,1,0,3,2023,1,ali-erdemoglu,1750,1800,Turkey,1,5. Tradable,62,NA,1584,0,Self-made male,0,Asia
131,2021,2021,1,1,0,3,2023,1,ali-ghodsi,1750,1800,Sweden,1,2. New Sector,43,NA,1584,0,Self-made male,0,Europe
132,2010,2010,1,1,0,9,2018,1,ali-ibrahim-agaoglu,488,2000,Turkey,1,5. Tradable,56,NA,1440,0,Self-made male,1,Asia
133,2011,2011,1,1,0,3,2013,1,ali-metin-kazanci,879,1400,Turkey,1,1. Resource-related,77,NA,1036,0,Self-made male,0,Asia
133,2023,2023,1,1,0,1,2023,2,ali-metin-kazanci,2405,1100,Turkey,1,1. Resource-related,89,NA,1100,0,Self-made male,0,Asia
134,2018,2018,1,1,0,6,2023,1,alice-schwartz,2124,1000,United States,1,2. New Sector,92,NA,830,1,Self-made female,0,North America
135,2010,2010,1,1,0,14,2023,1,alice-walton,16,20600,United States,0,3. Nontradable,61,NA,14832,1,Inherited female,1,North America
136,2010,2010,1,1,0,14,2023,1,alicia-koplowitz,437,2200,Spain,0,4. Financial,57,NA,1584,1,Inherited female,1,Europe
137,2010,2010,0,1,1,10,2019,1,alijan-ibragimov,287,3300,Kazakhstan,1,1. Resource-related,56,NA,2376,0,Self-made male,1,Asia
138,2010,2010,1,1,0,14,2023,1,aliko-dangote,463,2100,Nigeria,1,5. Tradable,53,NA,1512,0,Self-made male,1,Africa
139,2010,2010,1,1,0,14,2023,1,alisher-usmanov,100,7200,Russia,1,1. Resource-related,57,NA,5184,0,Self-made male,1,Asia
140,2017,2017,0,0,1,6,2022,1,allan-goldman,660,3000,United States,0,4. Financial,74,NA,2430,0,Inherited male,0,North America
141,2014,2014,1,1,0,4,2017,1,allan-gray,1284,1300,South Africa,1,4. Financial,76,NA,1014,0,Self-made male,0,Africa
142,2013,2013,1,1,0,2,2014,1,allan-slaight,1175,1200,Canada,1,3. Nontradable,80,NA,924,0,Self-made male,0,North America
143,2010,2010,1,1,0,14,2023,1,allan-wong,880,1100,Hong Kong,1,5. Tradable,60,NA,792,0,Self-made male,1,Asia
144,2011,2011,1,1,0,5,2015,1,aloke-lohia,595,2000,India,0,5. Tradable,53,NA,1480,0,Inherited male,0,Asia
144,2017,2017,1,1,0,3,2019,2,aloke-lohia,1234,1700,India,0,5. Tradable,59,NA,1377,0,Inherited male,0,Asia
144,2021,2021,1,1,0,3,2023,3,aloke-lohia,1205,2600,India,0,5. Tradable,63,NA,2288,0,Inherited male,0,Asia
145,2010,2010,0,0,1,13,2022,1,aloys-wobben,258,3500,Germany,1,1. Resource-related,58,NA,2520,0,Self-made male,1,Europe
146,2010,2010,0,1,1,11,2020,1,aloysio-de-andrade-faria,201,4200,Brazil,0,4. Financial,90,NA,3024,0,Inherited male,1,South America
147,2013,2013,1,1,0,9,2021,1,alvaro-saieh-bendeck,458,3000,Chile,1,4. Financial,63,NA,2310,0,Self-made male,0,South America
148,2010,2010,1,1,0,14,2023,1,amancio-ortega,9,25000,Spain,1,3. Nontradable,74,NA,18000,0,Self-made male,1,Europe
149,2011,2011,1,1,0,1,2011,1,amar-bose,1140,1000,United States,1,5. Tradable,82,NA,740,0,Self-made male,0,North America
150,2010,2010,0,1,1,8,2017,1,americo-amorim,212,4000,Portugal,0,6. Diversified / Other,76,NA,2880,0,Inherited male,1,Europe
151,2015,2015,1,1,0,1,2015,1,amit-burman,1712,1050,India,0,5. Tradable,46,NA,819,0,Inherited male,0,Asia
151,2018,2018,1,1,0,6,2023,2,amit-burman,1867,1200,India,0,5. Tradable,49,NA,996,0,Inherited male,0,Asia
152,2021,2021,1,1,0,3,2023,1,amnon-shashua,2141,1400,Israel,1,5. Tradable,61,NA,1232,0,Self-made male,0,Asia
153,2010,2010,1,1,0,14,2023,1,amos-hostetter-jr,421,2300,United States,1,3. Nontradable,73,NA,1656,0,Self-made male,1,North America
154,2023,2023,1,1,0,1,2023,1,amy-adams-strunk,1725,1700,United States,0,3. Nontradable,68,NA,1700,1,Inherited female,0,North America
155,2017,2017,1,1,0,7,2023,1,amy-goldman-fowler,660,3000,United States,0,4. Financial,63,NA,2430,1,Inherited female,0,North America
156,2015,2015,1,1,0,9,2023,1,amy-wyss,1044,1850,United States,0,2. New Sector,44,NA,1443,1,Inherited female,0,North America
157,2011,2011,1,1,0,5,2015,1,ana-lucia-de-mattos-barretto-villela,347,3200,Brazil,0,4. Financial,38,NA,2368,1,Inherited female,0,South America
157,2017,2017,1,1,0,7,2023,2,ana-lucia-de-mattos-barretto-villela,1234,1700,Brazil,0,4. Financial,44,NA,1377,1,Inherited female,0,South America
158,2013,2013,1,1,0,11,2023,1,ana-maria-brescia-cafferata,1088,1350,Peru,0,6. Diversified / Other,89,NA,1039.5,1,Inherited female,0,South America
159,2013,2013,1,1,0,3,2015,1,ana-maria-marcondes-penido-santanna,554,2600,Brazil,0,5. Tradable,57,NA,2002,1,Inherited female,0,South America
159,2017,2017,1,1,0,3,2019,2,ana-maria-marcondes-penido-santanna,1376,1500,Brazil,0,5. Tradable,61,NA,1215,1,Inherited female,0,South America
160,2017,2017,1,1,0,2,2018,1,analjit-singh,1678,1200,India,0,6. Diversified / Other,63,NA,972,0,Inherited male,0,Asia
160,2022,2022,0,0,0,1,2022,2,analjit-singh,2448,1100,India,0,6. Diversified / Other,68,NA,1045,0,Inherited male,0,Asia
161,2015,2015,1,1,0,9,2023,1,anand-burman-1,1324,1400,India,0,5. Tradable,63,NA,1092,0,Inherited male,0,Asia
